City,Country,Population,Size,Average_HH_Size,Number_of_HH,Monthly_Income,Existing_Open_Space,Public_Space_Cost,Percentage_of_HH_in_Need_of_Adequate_Housing_Upgrades,Average_Market_Price_of_an_Adequate_Home,Average_Monthly_Rent_of_an_Adequate_Home,Total_Housing_Cost_from,Total_Governance_Cost
Ibague,Colombia,508196.29,Medium,2.5116430728482135,202336.19,62.81,0.7152832000000001,791545581.4963841,0.0913,35755.5,125.46,2591118927.6066866,44500000
Pasto,Colombia,357610.88999999996,Medium,2.693850400263019,132750.835,65.93583333333333,0.9801242000000001,436607597.5182902,0.1264,43485.75000000001,136.37500000000003,2095083330.93445,44500000
Manizales,Colombia,406442.54,Medium,2.528068890628551,160771.94,89.08,6.27,148365487.53123075,0.0541,43485.75000000001,136.37500000000003,2080122879.3851423,44500000
Villavicencio,Colombia,457980.17999999993,Medium,2.4075040417460345,190230.28499999997,71.48,2.372,241900732.79233065,0.1398,43485.75000000001,136.37500000000003,3173830674.052951,44500000
Neiva,Colombia,319243.88999999996,Medium,2.4590017825311943,129826.61999999998,65.93583333333333,1.0117422,291216113.38819295,0.0897,43485.75000000001,136.37500000000003,1944340519.218331,44500000
Armenia,Colombia,279775.615,Medium,2.453697357059562,114022.055,65.93583333333333,0.6644883999999999,483781773.646734,0.4447,43485.75000000001,136.37500000000003,1475480632.901776,44500000
Valledupar,Colombia,466239.2349999999,Medium,3.237907602949262,143993.99,65.93583333333333,2.7181733699999997,257139936.55626696,0.2516,43485.75000000001,136.37500000000003,2176077663.7022004,44500000
Monteria,Colombia,440228.845,Medium,3.2463324451363733,135608.06,47.15,0.895432,438369757.15620947,0.6225,43485.75000000001,136.37500000000003,2659510254.453592,44500000
Sincelejo,Colombia,278741.32999999996,Medium,3.2199371541131225,86567.32,65.93583333333333,89.246024,101750159.61802047,0.2693,43485.75000000001,136.37500000000003,1529844496.3116074,44500000
Popayan,Colombia,281429.05,Medium,2.5344143617118515,111043.03,65.93583333333333,4.48,102731269.73544924,0.0911,22038.5,106.64,1066609623.4088932,44500000
Tunja,Colombia,170510.865,Medium,2.6024941905499612,65518.25,65.93583333333333,0,97983878.67142534,0.0837,43485.75000000001,136.37500000000003,927404795.734074,44500000
Riohacha,Colombia,180236.59499999997,Medium,3.3084232295567606,54478.09499999999,65.93583333333333,0.403137,176785882.96840632,0.3847,43485.75000000001,136.37500000000003,1422636174.7908022,44500000
Florencia,Colombia,159140.835,Medium,2.4748082204754236,64304.310000000005,65.93583333333333,0.2981715,160347813.6704977,0.2554,43485.75000000001,136.37500000000003,1168577219.492525,44500000
Quibdo,Colombia,122489.18499999998,Medium,2.7568018275271275,44431.62499999999,65.93583333333333,0.4405606,107879851.38760877,0.8308,43485.75000000001,136.37500000000003,857921957.857694,44500000
Arauca,Colombia,76871.025,Small,2.845682723378673,27013.209999999995,65.93583333333333,0.19193240000000003,43585339.51147471,0.2409,43485.75000000001,136.37500000000003,609721911.8934919,13000000
